嚓嚓嚓	晋献公
少林少昂	少林王
备战北京冬奥会	被占住，北京装会
起跑	洗澡
备战北京冬奥会	被占住北京装会
黄大亨	黄宏
西蒙	奇摩
少昂	尚王
这面金牌	正面心态
最后冲刺	最后陈述
少昂	烧王
韩国队	航空队
预赛	玉散
踢冰	提兵
脚没伸出来	饺子没生出来
复盘	复函
购冰雪好物	狗，并选好物
赛事下方	暂时下方
单板滑雪	在买滑雪
王濛	王风
吹哨	崔绍
所有人打起来	所有人答起来
浇上冰之后	娇上冰之后
小组	小狗
破了几个奥运会记录	破了喜高也会记录
新的新的奥运会纪录	心脑心脏员记录
新的奥运会纪录	新造型记录
比利时选手	笔直选手
你一动	你一栋
是李俊瑞的	是这里军队的
场的	厂的
过两分半	过两顿饭
去慢滑	去漫画
濛主	盟主
武林盟主	武林盟主
陈露老师	成都老师
王濛	王猛
王濛	王梦
女子各淘汰	女子个淘汰
男子各淘汰	男子个淘汰
迷妹	明媚
迷妹	明媚
出现失误	出现食物
宫乃莹	湖南营
风和日丽	沣河支D
毕野	闭眼
show什么	受什么
进行训练	进行洗脸
莱德卡	来来的
滑进	华金
滑进	华金
队内和自己	对内和自己
同一个队的	同一个对的
夺冠	左关
夺冠	左关
奥马尔	噢玛
奥马尔	啊毛
奥马尔	噢忙噢
奥马尔	阿妈噢
奥马尔	啊妈
奥马尔	噢毛
奥马尔	噢吗
注册	注侧
注册	注侧
拿到过索契	拿到货索契
库默尔	木耳
杜伊莫维茨	某依次
Meet GU	B的股
Meet GU	密切股
Meet GU	密集股
Meet GU	芋头古
Meet GU	me退股
维辛廷	维辛烃
洛昂	陆昂
洛昂博佐洛	洛阳博左路
洛昂博佐洛	洛阳博佐洛
博佐洛	波佐咯
博佐洛	博主路
博佐洛	普索洛
博佐洛	波走路
洛昂博佐洛	洛阳波着陆
洛昂	陆王
博佐洛	博所咯
洛昂	陆洋
博佐洛	博左路
博佐洛	波着陆
斯莫连佐娃	斯莫连锁吧
洛昂博佐洛	洛阳亳州路
博佐洛	博左咯
冲线的这一下	冲线的这一架
雅各贝利斯	雅克贝利斯
雅各贝利斯	雅克贝利是
亚当兰伯特	要当兰波特
黑迪格尔	嗨的歌
黑迪格尔	黑D歌
梅兰叙尔热	梅兰需要了
梅尔耶塔	没有耶塔
梅尔耶塔	没有椰塔
梅尔耶塔奥丁	没有也谈奥丁
梅尔耶塔奥丁	没有叶桃定
梅尔耶塔奥丁	没有叶塔奥丁
梅尔耶塔奥丁	没有一套奥丁
梅尔耶塔奥丁	没有野桃丁
梅尔耶塔奥丁	没有野桃听
梅尔耶塔奥丁	没有一套丁
梅尔耶塔奥丁	没有叶桃丁
梅尔耶塔奥丁	没有夜逃顶
梅尔耶塔奥丁	没有野草丁
梅尔耶塔奥丁	没有叶桃听
梅尔耶塔奥丁	没有一淘丁
梅尔耶塔奥丁	没有野草奥丁
梅尔耶塔奥丁	没有也逃顶
梅尔耶塔奥丁	没有乐淘丁
梅尔耶塔奥丁	没有叶草丁
梅尔耶塔奥丁	没有intel丁
耶塔奥丁	intel丁
梅尔耶塔奥丁	没有叶涛叮
莱德茨卡	莱德卡
丹尼尔东斯基赫	但你要东斯基赫
上传	上船
丹尼尔东斯基赫	但你要东斯芰荷
丹尼尔东斯基赫	但你要东实际后
亚历山德罗	压力三德鲁
亚历山德罗	亚历山德鲁
亚历山德罗	亚利桑德罗
黑迪格尔	黑莉哥
黑迪格尔	嗨D歌
特雷斯珀什	托雷斯博士
奈廷格尔	那一天戈尔德
休奈廷格尔	凶那天哥
休奈廷格尔	休那天哥
奈廷格尔	耐听歌
奈廷格尔	那一天哥
奈廷格尔	那天阁
奈廷格尔	那天哥
奈廷格尔	哪天哥
奈廷格尔	那一天格尔
奈廷格尔	那天格尔
奈廷格尔	那一天隔
奈廷格尔	那听歌哦
卡尔帕诺	看好怕咯
卡尔帕诺	考好泡咯
卡尔帕诺	卡尔泡咯
卡尔帕诺	考好怕咯
卡尔帕诺	靠抛落
卡尔帕诺	考好跑路
布罗克霍夫	布鲁克霍弗
叙尔热	许尔勒
克洛艾	克鲁A
克洛艾	克鲁威
克洛艾	克罗尔A
克洛艾	克鲁尔A
克洛艾	克罗A
克洛艾	客路A
克洛艾	克洛A
黑默勒	黑墨琴
克里斯季娜	克里斯基那
俄奥队	噢对
费伊古利尼	非古利尼
数智人	舒适人
5G	乌鸡
5G	吴祺
5G冰雪	无极冰雪
5G	武嬉
5G	吾系
单板滑雪	感冒滑雪
障碍追逐	障碍区属
混合团体大决赛	混合同李娜决赛
5G冰雪	无锡冰雪
靳老师	金老师
男运动员	南运动员
莫约利	毛利
男队	南对
snow	snow
法国一队	法国一对
加拿大一队	加拿大一对
覆雪	抚雪
女运动员	你运动员
出发	厨房
jump	酱品
控制秒数	控制描述
秒数控制	描述控制
半壁	断臂
增加秒数	增加描述
运动员	印洞源
画面上的是	画面上的事
第一个弯	第一个班
美国一队	美国一对
澳大利亚一队	澳大利亚一对
雪面	斜面
澳大利亚	大家莉亚
四分之一	您分之一
山地	3D
瑞士一队	瑞士一对
雪镜	雪静
雪静静	雪静静
换上	患上
暗片	胺片
NTO	嗯TO
换板	换版
交替滑	交替话
失误率	时物理
打蜡师	打蜡斯
打蜡师	打蜡室
队医	队E
滑	划
滑	划
滑	划
这个弯又	这个完又
新雪	心血
二队	二对
滑	划
划算	划算
出谋划策	出谋划策
谋划	谋划
划清	划清
计划	计划
加拿大	贾那的
皮划艇	皮划艇
划船	划船
jump	酵母
意大利队	一到力队
加拿大一队	检查大一对
加拿大二队	检查大二对
奥地利一队	地理一对
首金诞生	手机诞生
短道	短刀
暂列最后	战略最后
菲舍尔	废水
稳稳的	文文的
晋级的是	紧急的事
了紧急的事	了紧急的事
个紧急的事	个紧急的事
新设项	新摄像
件紧急的事	件紧急的事
这起跑也不错	这信号也不错
小鸣你	小朋友你
123稳	123碗
东斯基赫	公司金河
1234稳	1234碗
菲舍尔	沸水
3点几秒	3点进冒
雅各贝利斯	要一个贝利斯
鲍姆加特纳	抱抱加特纳
鲍姆加特纳	宝宝加特纳
奥林匹克jump	奥林匹克詹姆斯
出战	出站
雅各贝利斯	哪个倍思亲
男子百米	男足百米
趟平	汤瓶
健翔老师	建强老师
咪咕豪华	一股豪华
咪咕豪华	低估豪华
濛主	蒙总
健翔老师	庆祥老师
减少一个人	减少一个利润
该传没传	该穿没穿
提到了这	提到了这
提到了我	提到了我
提到了你	提到了你
任子威	镇子威
任子威	振子、威
任子威	镇子为
比赛跑道	比赛管道
交接	交集
今天一共	今天一共
昨天一共	昨天一共
今天一起	今天一起
明天一起	明天一起
明天一共	明天一共
第4是	第斯是
充满无限乐趣	充满无限下去
冰雪运动	冰雪、绿豆
冰雪运动	冰雪绿豆
冰面	壁面
冰感	宾馆
冰面	B面
摸冰	摸兵
降速的时候	教授的时候
冰刀	兵东
零卡	灵卡
零脂	灵芝
零香精	刘翔、惊
零防腐剂	零、防腐剂
零香精	流香精
在一般	在一班
0糖	0趟
零脂	零之
深知	生殖
零卡	琳卡
深知	生殖
零香精	林祥金
零卡零脂	冰卡灵芝
零脂零香精	林志玲、香精
零脂	林志
零卡	林卡
零香精	林相亲
零香精	玲镶金
零香精	林湘君
零香精	林、乡金
0卡0脂0	0卡0~0
零脂	零只
零香精	林、香金
大靖	大劲
老大劲	老大劲
赛期	塞戏
快乐的滑冰	快了的滑冰
咪咕商城	你不商城
国潮太空熊猫	国朝太空熊猫
盲盒	忙和
盲盒	忙呵
米嘟嘟	密度都
米嘟嘟	me都都
米嘟嘟	密度图
顶部	鼎湖
十虎	石虎
实际排名	实践排名
1/4决赛	私密决赛
发枪	发香
连续滑	连旭滑
连续滑	连旭华
太突然	太土壤
慢镜头	望镜头
紧追	颈椎
干啥	肝癌
张楚桐	张主任
张楚桐	樟子松
张楚桐	樟树图
别等	别抖
张楚桐	商住楼
张楚桐	张猪头
楚桐	猪头
是啊	蚀啊
总时	主食
跟前	跟钱
裁判出来	台湾出来
裁判出来了	害怕出来了
粘着别人滑	棉着别人花
轮滑	文华
保茨马	保司马
保茨马	宝马
保茨马	保持吗
能保持吗	能保持吗
没啥	没傻
崔敏静	崔珉祯
滑失误	花书屋
挨罚	I房
崔敏静	崔美进
图尔基拉	土耳其账
图尔基拉	土耳其张
图尔基拉	头脑7张
图尔基拉	土耳其浪
图尔基拉	土耳其了
图尔基拉	土豪记账
图尔基拉	土耳其啦
费斯勒伊斯	费时六医师
费斯勒伊斯	这是刘易斯
亚历山德拉	163德拉
亚历山德拉	亚力森得了
纳扎罗娃	那怛罗王
纳扎罗娃	萨达罗王
纳扎罗娃	那洒落王
纳扎罗娃	那萨罗王
尼基京	壹基金
尼基京	你基金
尼基京	尼基金
尼基京	理基金
尼基京	李记心
尼基京	李欣欣
大家注意	大家注意
注意到	注意到
有没有注意	有没有注意
尼基金	离基金
尼基京	没基金
塔施莱罗娃	他是来罗王
塔施莱罗娃	他虽然罗王
拉马瑙斯凯特	那么瑙斯凯特
小松原美里	小同学没理
小松原美里	小同学没力
斯波迪里耶夫	不是迪利耶夫
波斯迪里耶夫	不是迪迪耶夫
波斯迪里耶夫	我是迪迪耶夫
波斯基迪耶夫	我斯基利耶夫
斯波迪里耶夫	波斯蒂里耶夫
波斯迪里耶夫	鲍斯蒂里耶夫
波斯迪里耶夫	我是迪里耶夫
波斯迪里耶夫	波斯蒂利耶夫
波斯迪里耶夫	波斯迪迪耶夫
波斯迪里耶夫	波斯迪迪、耶夫
迪里耶夫	迪迪耶夫
俄奥队	噢对
玛乔丽	马乔莉
洛朗丝	陆朗斯
斯捷潘诺娃	世杰、潘诺娃
斯捷潘诺娃	施捷、潘诺王
斯捷潘诺娃	施洁潘落网
斯捷潘诺娃	斯杰、潘陆王
斯捷潘诺娃	世杰、潘陆王
潘诺娃	潘忠王
斯捷潘诺娃	是捷潘诺王
斯捷潘诺娃	施洁、潘托娃
斯捷潘诺娃	世界潘托娃
伊万布金	1万付清
西尼齐娜	西尼奇闹
西尼奇闹	西尼气样
尼基塔	煤气躺
尼基塔	你机场
尼基塔	利息塔
尼基塔	利息差
埃文贝茨	爱玩贝茨
吉勒斯	极乐世
安全抓板	安全夹板
安全抓板	安全夹板
稳稳	文文
只能是哎	只能是爱
先补	仙府
上届带	上借贷
善台	三潭
稳到	我闹
两个脚	两个角
两个脚	两个角
深一脚	C脚
8秒	8毛
荣获	容括
冰舞	比武
滑	华
单人滑	单任华
自由舞	C5
韵律舞	韵律物
男伴	男贝尔
踩在	采摘
赛季	菜系
换伴	换瓣
搭档	当当
柳哥	刘哥
托举	拖鞋
双人滑	算法
双人滑	苏友华
经受	精臭
离世界	离世界
柳鑫宇	溜进
双人滑	霜滑
双人滑	3号滑
冰舞	兵卫
前外	前万
男伴	南半
舞伴	我爸
怎么摔	怎么帅
时限要求	事现要求
冰舞	丁武
衍生步	衍生部
捻转	演传
捻转步	捻转不
直线步	只限不
纳扎罗娃，尼基京	羊肉吧鸡丁
中线步	中线不
算减分	蒜碱
韵律舞	预留五
劳中	牢中
冰雪故事	冰雪公司
但热爱	断热
谷爱凌	国20
韩乔生	韩娇声
韩乔生	恒、乔生
冰感	宾馆
图案舞	团5
衍生步	延生不
中线步	中线布
单人滑	担任华
对角线步	对角线不
布鲁斯	不溜S
前任搭档	前刃搭档
跪滑	桂花
前任搭档	前任搭档
日本选手	日本分手
hiphop	一泡
外刃	Y刃
滑一样动作	花一样动作
捻转步	捻转播
捻转步	年转播
hiphop	P胖
非常燃	非常然
滑法	华发
韵律舞	运柳
中轴	中州
捻转步	捻转波
结束动作	减速动作
衍生步	言生过
打招呼	大招呼
疫情	一情
疫情	一倾
韵律舞	孕6
韵律舞	孕6
韵律舞	孕5
捻转步	免三步
韵律舞	韵笠舞
中线步	中宣部
韵律舞	印度舞
冰舞大国	冰舞大果
华尔兹	滑尔斯
韵律舞得分	因为我得分
华尔兹	华尔斯
王诗玥	王胜月
韵律舞	韵笠舞
韵律	运6
韵律	运六
hip hop	一炮
图案舞	图万5
疫情	一轻
大国	大果
女歌手	女歌手
策划	策划
玥姐	幼儿姐
15分钟	15分钟
15秒	15秒
15分	15分
15天	15天
15小时	15小时
15公斤	15公斤
15米	15米
15千米	15千米
俄罗斯	爱螺丝
冰选手	冰选手
滑冰选手	滑冰选手
男孩是	男还是
捻转步	民政部
技术部分	技术部分
接续步	技术部
格鲁吉亚	格鲁假
双人滑	宋二滑
滑什么动作	画什么动作
冰舞的	并无的
韵律舞音乐	运刘文乐
韵律舞	运刘文
整齐度	正气度
整齐	整器
hip hop	气泡
韵律舞	避孕率
冰舞	钉5
王诗玥	王石岳
冰舞	钉5
王诗玥	黄事业
冰雪好物	冰鞋好务
弧线托举	无线脱菊
弧线托举	无线脱菊
托举	脱菊
冰舞的托举	父母的托举
自由舞	自由瓦
谷爱凌	刮鳞
谷爱凌	郭林
韵律	避孕
谷爱凌	快淋
西尔达鲁	西娅大陆
杨硕瑞	阳嗍累
杨硕瑞	杨说累
杨硕瑞	杨梭瑞
硕瑞	说类
硕瑞	数累
硕瑞	受累
杨硕瑞	阳朔类
杨硕瑞	杨树类
阳朔瑞	阳朔类
杨硕瑞	阳朔瑞
杨硕瑞	杨苏瑞
反脚	翻叫
坡面	托面
坡障	通胀
贝尔塔尼亚	不要塔尼亚
萨默海斯	商贸、海事
萨默海斯	沙漠、海思
萨默海斯	山猫、海事
玛尔戈	猫哥
玛尔戈	马浩哥
玛尔戈	茂哥
青蛙公主	清华公主
叉队长	超人队长
王老师	毛老师
瑞	蚋
爱玲	爱灵
坡面	破灭
坡面	破灭
爱凌	爱琳
取最好	曲最好
两轮取最好	两轮曲最好
跳台	套台
跳台	套台
keeper	k客
兼项	歼象
坡面障碍	婚宴障碍
滑雪场	怀上
雪季	雪祭
鸣哥	民歌
鸣哥	民歌
呲一下	吃一下
那场	娜场
银牌	音排
大学毕业	大学毕野
实力上	什利上
新雪	心雪
谷爱凌那场	古艾琳娜场
爱凌那场	艾琳娜场
新雪	心血
那一秒	内秒
杨硕瑞	阳硕瑞
杨硕瑞	杨瑞瑞
500	舞00
一天双赛	一天双赛
呲到头	吃到头
评一个	平一个
评一个	平一个
铁杆	腿干
编排	编派
选手们	学生们
选手们	学生们
很果断	柱子断
雪季	血祭
计时	祭祀
集体助力	几助力
就一就	就医就
健康码	健康马
健康码	健康马
崔敏静	崔敏针
可以滑到	可以滑到
教滑冰	交通滑冰
交换重心	接上主席
圈放开	川放开
买鞋	买鲜
这个选手	这个学生
5组	侮辱
霍夫迈斯特	护肤迈克
每组	美股
每组	每股
给人家撞了	给人家创了
把人家撞了	把人家创了
蓝旗	蓝及
位列第10名	位列这10名
评审赛道	瓶中写道
评审赛道	瓶上写的
试滑为了	是华为了
进行试滑	进行是话
健翔	贱相
最后一场	折扣场
王濛	同胞吗
周洋	中阳
周洋	猪羊
周洋	周扬
冲刺冲刺	从事从事
单圈	单车
判罚	拍娃
丹尼斯	戴琳斯
交换重心	接受主席
尼基沙	你急啥
帕维尔	怕被啊
西特尼科夫	洗脱你克服
上届带	上接待
子威	司微
子威	示威
任子威	认罪为
500米	500名
罗伯茨	萝卜吃
这把谁	这八字
克鲁日贝格斯	克卢日贝克斯
西盖尔	膝盖啊
彼得罗西盖尔	彼得罗膝盖
塞巴斯蒂安	赛巴斯连
就是尺	就是齿
勒帕普	了画谱
勒帕普	了发谱
勒帕普	了八婆
伊夫利耶夫	衣服里衣服
伊夫利耶夫	提夫利耶夫
亨利	红利
就是尺	就是豉
约翰亨利	一个很红利
阿布扎勒	啊不查了
阿布扎勒	啊普查了
阿布扎勒	啊不长肉
阿布扎勒	啊不找个
阿日加利耶夫	它是家里一副
就是尺	就是吃
阿日加利耶夫	啊日加了一些服务
阿日加利耶夫	还是加了一些负
就是尺	就是此
阿日加利耶夫	他是家里岳父
就是尺	这是吃
尺子	此至
尺子	赤字
史蒂文	实地玩
杜博伊斯	度过一丝
皮埃尔吉勒	P2吉勒
皮埃尔吉勒	P2级了
皮埃尔	P 2
大宪的	大杏仁
弗拉基斯拉夫	拖拉机、斯拉夫
鞋和	协和
弗拉迪斯拉夫	弗拉基萨芙
瑞安皮维罗托	瑞安疲惫骆驼
皮维罗托	皮被剥脱
刀托	刀拖
一道	E道
连续加刀	连续加朵
眼睛是尺	眼睛试吃
机会啊	机会I
连续加刀	连续加多
是尺	试吃
塞尔玛	三人马
往外加刀	往外加到
加刀连续	家中连续
连续加刀	连续家中
保茨马	保持嘛
保茨马	薄翅嘛
起来速	起来竖
起来速	起来塑
起速	起塑
起速	起竖
起速	起诉
起来速	起来诉
子威	紫薇
子威	次薇
子威	智威
孙龙	升龙
贝尔赛博	贝尔、三伯
娅拉	哑啦
范凯尔霍夫	范克尔霍夫
这么滑	这么话
娅拉范克尔霍夫	娅拉翻开或富
是吧	吃吧
楚桐	初冬
是是	吃吃
这个衫	这个村
是要	山药
舒尔廷	数二条
是	打死
判进	潘敬
判进	潘进
大靖是	大青山
大靖	大清
舒尔廷	输二庭
达娜埃布莱	达那埃不来
达娜埃布莱	打那A不来
达娜埃布莱	答，那A不来
徐辉旻	徐惠民
崔敏静	崔明清
比赛	鼻子
金雅朗	金牙了
连身服	连锁服务
李有彬	李幼斌
滑起来	画起来
计时	G时
差了	唱了
哎差了	爱唱了
崔敏静	吃敏静
最胶着	最焦灼
很胶着	很焦灼
圈大	川大
朴智允	朴志云
仿佛	仿佛
外圈	外川
内圈	内川
索菲娅	索菲亚
哪吒	嬷扎
标准的尺	标准的乞
该罚	丐发
叶夫列缅科娃	叶夫立面克王
叶夫里面科娃	叶夫链面克吧
是稳	是文
很稳	很文
真稳	真文
薇拉拉斯卡佐娃	维拉拉斯、卡佐娃
薇拉拉斯卡佐娃	梅拉拉斯、卡佐娃
圈数	圈树
交接	小鸡
大宪	大气
从今天	从今天
从今年	从今年
从今以后	从今以后
从今往后	从今往后
冲金	从今
任子威	壬子威
克丽丝滕	克里思彤
克丽丝滕	克丽丝桐
克丽丝滕	克里斯同
尤妮斯李	尤尼斯林
尤妮斯李	尤妮斯岭
尤妮斯李	求您司令
娜塔莉娅	娜塔莉亚
斯托尔莫夫斯卡	斯托尔墨斯克
马利、谢夫斯卡	马丽西、弗斯卡
马丁纳瓦尔切皮娜	马丁娜马尔切平了
瓦尔切皮娜	马尔切平啊
瓦尔切皮娜	玩而且拼呐
瓦尔切皮纳	马尔切皮娜
玩儿切皮那	玩儿切皮那
瓦尔切皮纳	玩而且平了
瓦尔切皮纳	巴尔切拼了
瓦尔切皮纳	玩儿切平那
瓦尔切皮纳	玩儿切屏了
瓦尔切皮纳	马尔切平那
瓦尔切皮纳	马尔切平了
瓦尔切皮娜	玩儿倩平了
瓦尔切皮纳	玩切平那
瓦尔切皮纳	反而切皮纳
瓦尔切皮纳	瓦尔切屏了
瓦尔切皮纳	玩切屏了
瓦尔切皮纳	玩切平的
瓦尔切皮纳	马尔切平吗
男子500米	但是500米
B组	B柱
A组	A柱
武大靖冲金	武大靖抽筋
武大靖冲金	我大靖冲进
孔凡钰	孙凡玉
孙凡钰	顺凡钰
滑太	华泰
稳点	喂点
邵琪	少妻
B组	B股
冰刀	冰糕
踢刀	提刀
国际滑联	国际滑连
匈牙利	徐亚丽
领先	领县
匈牙利	辛亚丽
交接	纠结
比较纠结	比较纠结
有点纠结	有点纠结
很纠结	很纠结
太纠结	太纠结
健翔老师	建好老师
濛姐	梦姐
踢刀动作	提到动作
再纠结	再纠结
边裁	边材
开出中国速度	开除中国速度
一汽奥迪	第7道题
你判的好	里帕的好
威胁	危险天
机器	jj
当时是锦标赛	当时时锦标赛
高亭宇	高铁
地大	D答
十分的	10分的
武大靖身上	武大靖车上
撵上	演尚
东方树叶是茶	东方树叶视察
武大靖	五大就
看冬奥上咪咕	看东上咪咕
看冬奥上咪咕	看东奥上咪咕
1/4决赛	私利决赛
1/4决赛	私立决赛
4个队	4个对
张雨婷	张雨诚
男子500米	难度完米
还有4圈	还有4层
这组	祭祖
大靖一组	大靖因素
连续加刀	连续下刀
加刀	下刀
压住	押注
别抢别抢	变小变小
你俩别抢	你俩别求
滑完	画完
控制的非常好	扣的非常好
好好滑	好豪华
刘少昂	邵黄
皮维罗托	疲惫骆驼
濛主	蒙卓
谷爱凌	国外0
热卖页	热卖叶
咪咕	迷糊
濛翔组合	梦想组合
龙威武	龙尾五
小鸣出发	小朋友出发
8#	八景
1620稳	1620弯
哈萨克斯坦	I3
竞争冠军	晋争冠军
计时器	及时器
连续加刀	连续加高
还是是	还世是
也受了	野兽了
抬刀	台刀
踢刀	T刀
抬刀	台刀
抬刀尖	抬刀间
一次交接	一丝交接
方塔娜	方总
裁判	才盼
挣的	蒸的
鸣枪	名枪
才盼到	才盼到
才盼来	才盼来
才盼望	才盼望
摸冰	莫兵
三婷碰	三瓶碰
三个婷	三个瓶
三个婷	三个亭
舒尔廷	宿舍
三个婷	三个廷
三个婷	三个庭
冰沟	彬沟
一棒	一半
张雨婷	张雨停
雨婷	雨停
两棒	两办
打好交接	大红椒节
张楚桐	张楚鹏
有一半	有一半
一半人	一半人
要一起	要一写
小范	小饭
北京冬奥会	北极东会
弯道	豌豆
踩冰	采冰
踩冰实	采冰石
四年	四沿
选手圈	学生圈
意大利西盖尓	意大利膝盖
意大利西盖尔	意大利膝盖
骨骼惊奇	骨骼清奇
跟匈牙利的短道	跟商业的短道
濛翔手办	梦想手办
谷爱凌	国安零
我凌	我零
我凌	我林
我凌	我琳
试滑	世滑
临场	临床
霏霏	狒狒
冰舞当中	病当中
韵律舞	运力五
失误	事务
双人滑	三人滑
临场发挥	临床发挥
每组	没足
练冰	练兵
滑前动作	花钱动作
托举	拖取
编排托举	安排托举
雪速	学术
捻转步	连战不
tail grab	天要管
编排步伐	现在步伐
double cork	double cute
编排步法	现在步法
新冠	心旷
编排	边台
goofy	估费
拐早	拐枣
frontside外转	plus外转
frontside外转	plus外转
滑起来	话起来
double cork	答，包括
共将产生	攻将产生
同步捻转步	同步连宣布
最大进步	最大进步
编排步法	但他不发
滑的	话这
女伴	你办
反手抓板	反手抓完
坡面障碍	惠明账唉
够吗	勾吗
坡面障碍	惠明账
大跳台	大吊材
世界	十界
triple	炊宝
triple	炊宝
前刃	千人
叉队	查对
直线托举	先托举
女孩外勾	女孩外公
U槽	有草
抓板	找吧
焕然一新	换人心
休息点	休息垫
发力的	发D的
横呲	横丝
托举	凸起
斜转	鞋转
double cork	大bug
道具区	道具去
630下	600三下
倒滑	倒花
横呲	横词
中国选手	中国显小
谷爱凌	国外D
谷爱凌	国外D
谷爱凌	国外D
谷爱凌	观林
谷爱凌	观林
圈数	全数
雪板控制	学霸控制
横呲	横吃
雪板控制	学霸控制
大桶上	大铜上
疫情期间	一航期间
坎坷	看客
挺难捡的	挺难减的
无奈之举	无奈支取
左转	所赚
knuckle	拿口
抓板尾	专门委
旋转	选转
单足下	单独下
同步捻转步	过年兼顾
抓板尾	专门委
旋转托举	旋转跳
编排旋转	仙牌旋转
冰一多	兵一多
横呲	横刺
大跳台	大的台
冰特别	兵特别
横呲	航次
希尔达鲁	西大陆
位置	位制
每滑一套	梅花一套
横呲	恒思
横呲	航次
一次练习	一次联系
double turn	达波特
double turn	达波特
捻转非常好	年终非常好
U槽	you曹
单足接续步	但就接续步
横呲	衡司
横呲	衡司
U槽	you曹
U槽	you曹
一个外转	一个外端
lipslide	勒布斯赖
lipslide	勒布斯赖
外转720	Y720
外转720	Y720
外转720	Y720
倒数第	到时候第
外7	外戚
switchup	思维差
横呲	核磁
横呲	核磁
临赛季	临赛系
gap	get
gap	get
270下	270项
捻转接续步	在想继续不
叉队	茶对
叉队	茶对
倒滑	倒花
450下	450架
站了	战了
450下	450项
450下	450项
够不着	钩不着
看见地	看见D
Bio	被偶
动物主题	动作转体
正脚	正表
正脚	正表
勾脚	口角
之前解说	之前接受
大提琴的崛起	巴德鑫的崛起
漂亮	票两
弧线托举	不羡托举
编排步法	品牌步法
72.	其实2.
71.	其实1.
73.	其实3.
74.	其实4.
75.	其实5.
76.	其实6.
77.	其实7.
78.	其实8.
79.	其实9.
镶那了	香奈儿
tail grab	条管不是
double cork	答不靠谱
排第七	叛逆期
发上力	发烧利
自由滑	费用滑
抓板时长	抓板食堂
抓板时长	抓板食堂
前转	钱转
前转	钱转
跃然冰上	跃然盯上
劲没带够	近没带够
横呲	红丝
不犹豫	不由欲
double cork	答不靠谱
弧线托举	我县托举
横呲	红丝
印象分	影响分
上70	上汽是
上70	上汽是
切换了	接话了
前刃起跳	前刃起降
大桶上	大头上
横呲	冯思
横呲	冯思
正回来	挣回来
横呲	行吃
横呲	行吃
失误之后	15之后
横呲	恒时
横呲	恒时
失误之后	15之后
横呲	虹司
横呲	虹司
裁判打分	裁判打飞
seven twenty	散文团
seven twenty	散文团
打分	打飞
蜡不够	落不够
坡面障碍技巧	后面上海技巧
坡面障碍技巧	后面上海技巧
seven twenty	seven端倪
seven twenty	赛文托尼
seven twenty	赛文托尼
seven twenty	塞文托尼
seven twenty	塞文托尼
外转900	外转旧版
大跳台	大家谈
大跳台	大家谈
最长的一队	最长的一堆
最长一队	最长一堆
weddle grab	Y=X
门票	门跳
U槽	牛槽
四步以下	四部以下
道具区	到处去
道具区	到处去
编排滑动	边拍滑动
步伐组合	不发组合
540	AY4
540	AY4
能转	能赚
能转	能赚
横呲	合资
横呲	合资
melon	卖LED
melon	卖LED
谷爱凌	葛爱凌
横呲	恒磁
横呲	恒磁
同步捻转步	不紧张不
右侧板	右侧班
右侧板	右侧班
Japan	折片
Japan	折片
单足步法	单从步伐
横呲	公司
横呲	公司
上一跳	看一条
上一跳	看一条
缓冲墙	缓冲强
缓冲墙	缓冲强
不滑冰	不发冰
不滑冰	不发冰
跳失误	跳书
跳失误	跳书
坡面障碍	国名这样
坡面障碍	国名这样
万万没想到	慢慢没想到
四种都做一遍	四周多做一遍
裁判	台判
十种都要去做	始终都要去做
坡面障碍技巧	我们这样技巧
坡面障碍技巧	我们这样技巧
扶了一下	数了一下
摸地	摩D
横呲	横村
横呲	横村
每一个跳台	每一个交代
每一个跳台	每一个交代
横呲	横是
横呲	横是
差分值	叉芬茨
空中	孔融
空中	孔融
double cork 900	打破900
double cork 900	打破900
女伴是	女范式
横呲	横斯
横呲	横斯
抓板尾	抓班子
抓板尾	抓班子
倒滑	大滑
倒滑	大滑
上一跳	上桥
上一跳	上桥
呲杆	次感
呲杆	次感
正下	挣下
正下	挣下
横呲450	红色450
横呲450	红色450
左转	折转
左转	折转
正滑	正罚
正滑	正罚
横呲	红思
横呲	红思
男伴身高	82身高
弧线接续步	冲线接续步
杨硕瑞	杨卓瑞
偏轴	天周
偏轴	天周
540	500岁
540	500岁
踩部位	踩部队
踩腿	睬腿
cork720	靠720
cork720	靠720
买冰雪好物	买一瓶好务
坡面障碍	坡面占
谁做的稳	谁偷的文
冰墩墩	平衡灯
冰雪健儿	兵选健儿
异形	义行
未来还很可期	未来还很可气
冰墩墩	冰盾
大跳台	大项台
购冰雪好物	狗冰癣好务
大跳台	大跳猜
取两跳不同方式	取两条不同方式
坡面障碍技巧	坡面账借技巧
起跳跳台	几大跳台
转多少度	赚多少度
1440起	14407
坡面障碍技巧	风屏障碍技巧
triple cork	锤。包括
空翻	控盘
坡面障碍技巧	博名障碍技巧
坡面障碍	坡没障碍
资格赛	资格才
踩实了	才吃了
比划	笔画
招牌	抓牌
大冢健	大周见
backside	带伞
再翻一圈	在翻译圈
内转	那桩
坡面障碍技巧	博明障碍技巧
把板上雪给抖落	把板上雪给导入
double cork	打磨扣款
滑雪世家	滑雪10家
预落	玉落
早上踩实	早上才吃
单板滑雪	300滑雪
double rodeo	大豆肉肉的
镶在那	乡在那
